,provincia,comunidad autonoma,titulo,precio,habitaciones,metros,total inmuebles/comunidad
128,La Coruña,Galicia,"Piso en calle de Montero Ríos, 36, Ensanche - Sar, Santiago de Compostela",950,3,145,1751
129,La Coruña,Galicia,"Ático en avenida santiago, 16, Santa Comba",600,4,230,1751
130,La Coruña,Galicia,"Piso en calle de Montero Ríos, 12, Ensanche - Sar, Santiago de Compostela",1300,4,189,1751
131,La Coruña,Galicia,"Piso en CORTADURIA, s/n, Ciudad Vieja - Centro, A Coruña",675,2,75,1751
132,La Coruña,Galicia,"Chalet adosado en calle Fiz Cotovelo, Cambre",1100,4,300,1751
133,La Coruña,Galicia,"Piso en calle Almirante Mourelle, Riazor - Los Rosales, A Coruña",420,2,64,1751
134,La Coruña,Galicia,"Piso en calle Galiano, 1, Centro, Ferrol",700,2,73,1751
135,La Coruña,Galicia,"Ático en avenida de Arteixo, Vioño, A Coruña",770,4,109,1751
136,La Coruña,Galicia,"Piso en avenida concordia, Los Castros - Castrillón, A Coruña",600,3,83,1751
137,La Coruña,Galicia,"Piso en Enrique Mariñas, Someso - Matogrande, A Coruña",750,2,105,1751
138,La Coruña,Galicia,"Piso en plaza ESCULTOR MON VASCO, Someso - Matogrande, A Coruña",650,3,80,1751
139,La Coruña,Galicia,"Piso en calle Arzobispo Gelmírez, 8, Monte Alto - Zalaeta - Atocha, A Coruña",500,3,83,1751
140,La Coruña,Galicia,"Ático en travesía de Arteixo, Arteixo",500,2,80,1751
141,La Coruña,Galicia,"Piso en Santa Cruz, próximo a la playa, Liáns, Oleiros",760,3,105,1751
142,La Coruña,Galicia,"Piso en calle Manuel Murguía, Riazor - Los Rosales, A Coruña",1050,2,69,1751
143,La Coruña,Galicia,"Piso en plaza de Galicia, Ensanche, A Coruña",1400,4,132,1751
144,La Coruña,Galicia,"Dúplex en avenida Finisterre, Juan Flórez-San Pablo, A Coruña",1400,3,125,1751
145,La Coruña,Galicia,"Piso en Francisco Rodriguez Otero, Riazor - Los Rosales, A Coruña",700,3,85,1751
146,La Coruña,Galicia,"Piso en calle do Socorro, Monte Alto - Zalaeta - Atocha, A Coruña",700,3,125,1751
147,La Coruña,Galicia,"Chalet pareado en calle TOURO, Monte Alto - Zalaeta - Atocha, A Coruña",500,2,65,1751
148,La Coruña,Galicia,"Casa o chalet independiente en RIO MIÑO, A Zapateira, Culleredo",1750,5,285,1751
149,La Coruña,Galicia,"Piso en calle Magdalena, 232, Centro, Ferrol",455,3,90,1751
150,La Coruña,Galicia,"Casa o chalet independiente en calle Juno, Perillo, Oleiros",2500,4,280,1751
151,La Coruña,Galicia,"Piso en calle Real, Ciudad Vieja - Centro, A Coruña",850,2,120,1751
152,La Coruña,Galicia,"Piso en calle Garda, 2, Alto del Castaño, Narón",450,2,85,1751
153,La Coruña,Galicia,"Piso en Alvaro Cunqueiro, Carballo",400,3,105,1751
154,La Coruña,Galicia,"Piso en Juana de Vega, Ensanche, A Coruña",2000,3,155,1751
155,La Coruña,Galicia,"Piso en Sinfónica de Galicia, Juan Flórez-San Pablo, A Coruña",1450,3,120,1751
156,La Coruña,Galicia,"Piso en Curros Enriquez, 13, Mera-Serantes, Oleiros",1200,2,65,1751
157,La Coruña,Galicia,"Piso en calle Luis Pita, Eirís, A Coruña",550,1,50,1751
158,La Coruña,Galicia,"Piso en triacastela, 1, Concheiros - Fontiñas, Santiago de Compostela",700,3,116,1751
159,La Coruña,Galicia,"Piso en calle tras Huertas, 1, Camariñas",300,2,100,1751
160,La Coruña,Galicia,"Ático en Praia, Miño",1200,1,75,1751
161,La Coruña,Galicia,"Piso en paseo de los Puentes, Paseo de los Puentes-Santa Margarita, A Coruña",1100,3,108,1751
162,La Coruña,Galicia,"Piso en calle Francisco Catoira, Os Mallos, A Coruña",700,4,92,1751
163,La Coruña,Galicia,"Piso en doctor teixeiro, 8, Ensanche - Sar, Santiago de Compostela",550,1,52,1751
164,La Coruña,Galicia,"Piso en calle Marina Nieto Álvarez, Cuatro Caminos - Plaza de la Cubela, A Coruña",750,3,90,1751
165,La Coruña,Galicia,"Piso en calle Caballeros, Cuatro Caminos - Plaza de la Cubela, A Coruña",980,3,137,1751
166,La Coruña,Galicia,"Piso en calle Benito Blanco Rajoy, Cuatro Caminos - Plaza de la Cubela, A Coruña",620,3,74,1751
167,La Coruña,Galicia,"Piso en calle Revolución Francesa, Vioño, A Coruña",700,2,77,1751
168,La Coruña,Galicia,"Piso en calle Canceliña, Agra del Orzán - Ventorrillo, A Coruña",500,2,68,1751
169,La Coruña,Galicia,"Piso en calle Costa da Unión, Falperra-Santa Lucía, A Coruña",890,3,95,1751
170,La Coruña,Galicia,"Piso en ronda de Outeiro, Agra del Orzán - Ventorrillo, A Coruña",690,3,90,1751
171,La Coruña,Galicia,"Piso en avenida Alcalde Manuel Platas Varela, Oseiro, Arteixo",500,3,101,1751
172,La Coruña,Galicia,"Piso en calle Cernadas, Someso - Matogrande, A Coruña",850,3,90,1751
173,La Coruña,Galicia,"Piso en Maria pita, 11, Ciudad Vieja - Centro, A Coruña",900,3,92,1751
174,La Coruña,Galicia,"Piso en Antonio Pedreira Rios, s/n, Agra del Orzán - Ventorrillo, A Coruña",650,4,125,1751
175,La Coruña,Galicia,"Piso en calle García Prieto, 60, Conxo, Santiago de Compostela",625,2,60,1751
176,La Coruña,Galicia,"Piso en calle Pérez Lugín, Oseiro, Arteixo",470,3,110,1751
177,La Coruña,Galicia,"Piso en calle Bailén, Ciudad Vieja - Centro, A Coruña",1050,3,119,1751
178,La Coruña,Galicia,"Piso en avenida Salvador de Madariaga, Someso - Matogrande, A Coruña",950,4,150,1751
179,La Coruña,Galicia,"Piso en avenida NOVO MESOIRO, Mesoiro, A Coruña",650,3,92,1751
180,La Coruña,Galicia,"Piso en Juan Flórez, Juan Flórez-San Pablo, A Coruña",1750,3,209,1751
181,La Coruña,Galicia,"Piso en calle Herrador, 1, Monte Alto - Zalaeta - Atocha, A Coruña",695,1,77,1751
182,La Coruña,Galicia,"Chalet en Lugar Cabana, Toques",350,7,300,1751
183,La Coruña,Galicia,"Piso en travesía de Arteixo, Arteixo",700,3,125,1751
184,La Coruña,Galicia,"Piso en Alcalde Alfonso Molina, Cuatro Caminos - Plaza de la Cubela, A Coruña",750,4,137,1751
185,La Coruña,Galicia,"Piso en Concepción Arenal, Centro, Ferrol",500,3,50,1751
186,La Coruña,Galicia,"Chalet pareado en calle Carballeira, Portádego - Vilaboa Norte, Culleredo",1800,5,521,1751
187,La Coruña,Galicia,Piso en Betanzos,450,2,111,1751
188,La Coruña,Galicia,"Piso en calle Hospital, Monte Alto - Zalaeta - Atocha, A Coruña",1200,3,95,1751
